205,HOURLY (MILL AND ASPH),0,HOURLY,HOURLY (MILL AND ASPH,hourly_context,,,hourly_family,0
206,"2 1/2"" CLEAN (ARAB)",0,"2 1/2"" CLEAN","2 1/2"" CLEAN (ARAB",source,,,material,0
207,HOURLY (MILL AND ASPHALT),0,HOURLY,HOURLY (MILL AND ASPHALT,hourly_context,,,hourly_family,0
208,"1/2"" M (BASEROCK)",0,"1/2"" M","1/2"" M (BASEROCK",source,,,material,0
209,"6"" CLEAN COM TRAP (BUTLERHILL)",0,"6"" CLEAN COM TRAP","6"" CLEAN COM TRAP (BUTLERHILL",source,,,material,0
210,DIRT (PITS),0,DIRT,DIRT (PITS,source,,,material,0
211,HOURLY (HAUL OFF),0,HOURLY,HOURLY (HAUL OFF,hourly_context,,,hourly_family,0
212,"3"" CLEAN (CC)",0,"3"" CLEAN","3"" CLEAN (CC",source,,,material,0
213,LANDSCAPE BLEND,0,LANDSCAPE BLEND,,,,,material,0
214,AGLIME (WS) (SANDP),0,AGLIME,AGLIME (WS,source,(SANDP,source,material,0
215,"1 1/2"" CLEAN GRAVEL (WS)",0,"1 1/2"" CLEAN GRAVEL","1 1/2"" CLEAN GRAVEL (WS",source,,,material,0
216,"6"" CLEAN (CQ)",0,"6"" CLEAN","6"" CLEAN (CQ",source,,,material,0
217,"3/8"" PUGMILL AGGREGATE",0,"3/8"" PUGMILL AGGREGATE",,,,,material,0
218,"1"" BASE (ARAB)",0,"1"" BASE","1"" BASE (ARAB",source,,,material,0
219,ASPAHLT (ESS),0,ASPAHLT,ASPAHLT (ESS,source,,,material,0
220,OVERSIZED WASH GRAVEL (WS),0,OVERSIZED WASH GRAVEL,OVERSIZED WASH GRAVEL (WS,source,,,material,0
221,CONCRETE WASTE,0,CONCRETE WASTE,,,,,material,0
222,"3/8"" CLEAN (CC)",0,"3/8"" CLEAN","3/8"" CLEAN (CC",source,,,material,0
223,HOURLY (SKIDSTEER),0,HOURLY,HOURLY (SKIDSTEER,hourly_context,,,hourly_family,0
224,HOURLY (ROCK),0,HOURLY,HOURLY (ROCK,hourly_context,,,hourly_family,0
225,"2"" CLEAN BLACK (BUTLER HILL)",0,"2"" CLEAN BLACK","2"" CLEAN BLACK (BUTLER HILL",source,,,material,0
226,HOURLY SKID STEER,0,HOURLY SKID STEER,,,,,hourly_family,0
227,HEAVY DIRT,0,HEAVY DIRT,,,,,material,0
228,"3"" CLEAN",0,"3"" CLEAN",,,,,material,0
229,"3"" MINUS",0,"3"" MINUS",,,,,material,0
231,1/5 BASE CC,0,1/5 BASE CC,,,,,material,0
232,RIP RAP #50 (WS),0,RIP RAP #50,RIP RAP #50 (WS,source,,,material,0
233,PEA GRAVEL (BK),0,PEA GRAVEL,PEA GRAVEL (BK,source,,,material,0
234,CREEK GRAVEL (WS),0,CREEK GRAVEL,CREEK GRAVEL (WS,source,,,material,0
235,"1/2"" CLEAN",0,"1/2"" CLEAN",,,,,material,0
236,"1"" CLEAN (SEMO)",0,"1"" CLEAN","1"" CLEAN (SEMO",source,,,material,0
237,EXCAVATOR WORK,0,EXCAVATOR WORK,,,,,material,0
238,RIP RAP #200 (WS),0,RIP RAP #200,RIP RAP #200 (WS,source,,,material,0
239,"1/2"" MINUS (CC)",0,"1/2"" MINUS","1/2"" MINUS (CC",source,,,material,0
240,CLAY,0,CLAY,,,,,material,0
241,D. BALLAST,0,D. BALLAST,,,,,material,0
242,SAND (DONIPHAN/ICM),0,SAND,SAND (DONIPHAN/ICM,source,,,material,0
243,90# RIP RAP (CQ),0,90# RIP RAP,90# RIP RAP (CQ,source,,,material,0
244,"2 1/2"" BASE (ARAB)",0,"2 1/2"" BASE","2 1/2"" BASE (ARAB",source,,,material,0
245,COLD MIX (WS),0,COLD MIX,COLD MIX (WS,source,,,material,0
246,"2"" MINUS",0,"2"" MINUS",,,,,material,0
247,AGLIME (STRACK),0,AGLIME,AGLIME (STRACK,source,,,material,0
248,GUMBO,0,GUMBO,,,,,material,0
249,JAW ROCK (ICM),0,JAW ROCK,JAW ROCK (ICM,source,,,material,0
250,RIPRAP (CC),0,RIPRAP,RIPRAP (CC,source,,,material,0
251,FILL SAND (BRENDA KAY),0,FILL SAND,FILL SAND (BRENDA KAY,source,,,material,0
252,"1/2"" BASE (VBS)",0,"1/2"" BASE","1/2"" BASE (VBS",source,,,material,0
253,"2"" BASE (VBS)",0,"2"" BASE","2"" BASE (VBS",source,,,material,0
254,"2"" CLEAN (VBS)",0,"2"" CLEAN","2"" CLEAN (VBS",source,,,material,0
266,EDGE TREATMENT,0,EDGE TREATMENT,,,,,material,0
267,AG-LIME (HEARTLAND) HAULING & SPREADING,0,AG-LIME,AG-LIME (HEARTLAND,source,,,service_in_name,0
268,TRIP PERMIT,0,TRIP PERMIT,,,,,material,0
269,"6-8"" RIP RAP (GH)",0,"6-8"" RIP RAP","6-8"" RIP RAP (GH",source,,,material,0
270,HRLY MILL (END DUMP),0,HRLY MILL,HRLY MILL (END DUMP,source,,,material,0
271,HOURLY WORK TIME,0,HOURLY WORK TIME,,,,,hourly_family,0
272,CONCRETE SAND (DEXTER),0,CONCRETE SAND,CONCRETE SAND (DEXTER,source,,,material,0
273,GYPSUM,0,GYPSUM,,,,,material,0
274,AG LIME (STRACK-RED),0,AG LIME,AG LIME (STRACK-RED,source,,,material,0
275,200# RIP RAP,0,200# RIP RAP,,,,,material,0
276,RAP (WP),0,RAP,RAP (WP,source,,,material,0
277,SHINGLES (PB),0,SHINGLES,SHINGLES (PB,source,,,material,0
278,SAND (BK),0,SAND,SAND (BK,source,,,material,0
279,SCREENGINGS (ARAB),0,SCREENGINGS,SCREENGINGS (ARAB,source,,,material,0
280,"2"" MINUS (CC-VB)",0,"2"" MINUS","2"" MINUS (CC-VB",source,,,material,0
281,"1"" MINUS (CC-VB)",0,"1"" MINUS","1"" MINUS (CC-VB",source,,,material,0
282,WASHED SAND (DONIPHAN),0,WASHED SAND,WASHED SAND (DONIPHAN,source,,,material,0
283,TRAP SAND (BUTLER),0,TRAP SAND,TRAP SAND (BUTLER,source,,,material,0
284,"1"" C (BACKHAUL)",0,"1"" C","1"" C (BACKHAUL",service,,,service_in_name,0
285,HOURLY-TENDER TRLR,0,HOURLY-TENDER TRLR,,,,,hourly_family,0
286,"2 1/2"" LATERAL (ICM-DNPHN)",0,"2 1/2"" LATERAL","2 1/2"" LATERAL (ICM-DNPHN",source,,,material,0
287,"1"" M (BACKHAUL)",0,"1"" M","1"" M (BACKHAUL",service,,,service_in_name,0
289,AG LIME (SPREADING ONLY),0,AG LIME,AG LIME (SPREADING ONLY,service,,,service_in_name,0
290,SAND (BUTLER),0,SAND,SAND (BUTLER,source,,,material,0
291,HOURLY EDGE TRTMNT,0,HOURLY EDGE TRTMNT,,,,,hourly_family,0
292,SAND (MALDEN),0,SAND,SAND (MALDEN,source,,,material,0
293,HAUL BACK,0,HAUL BACK,,,,,service_in_name,0
294,"1"" CLN LNDSCP TRAP (CENTRAL STONE)",0,"1"" CLN LNDSCP TRAP","1"" CLN LNDSCP TRAP (CENTRAL STONE",source,,,material,0
295,RIP RAP (ARAB),0,RIP RAP,RIP RAP (ARAB,source,,,material,0
296,"1"" CLN BLK LNDSCAPE (CS)",0,"1"" CLN BLK LNDSCAPE","1"" CLN BLK LNDSCAPE (CS",source,,,material,0
297,TYPE 1/5,0,TYPE 1/5,,,,,material,0
299,RAP (PB),0,RAP,RAP (PB,source,,,material,0
300,SHINGLES (ARAB),0,SHINGLES,SHINGLES (ARAB,source,,,material,0
301,HRLY ASPH (HEAVY HAUL),0,HRLY ASPH,HRLY ASPH (HEAVY HAUL,source,,,material,0
302,ADJUSTMENT-PMT,0,ADJUSTMENT-PMT,,,,,material,0
303,SHINGLES (PB),0,SHINGLES,SHINGLES (PB,source,,,material,0
304,RAP (WILLOW),0,RAP,RAP (WILLOW,source,,,material,0
305,1 1/8 LNDSCP BLND (BK),0,1 1/8 LNDSCP BLND,1 1/8 LNDSCP BLND (BK,source,,,material,0
306,"1.5"" GRAVEL (BK)",0,"1.5"" GRAVEL","1.5"" GRAVEL (BK",source,,,material,0
307,"1"" CLN (ICM-DONIPHAN)",0,"1"" CLN","1"" CLN (ICM-DONIPHAN",source,,,material,0
308,TYPE 1/5 (SEMO),0,TYPE 1/5,TYPE 1/5 (SEMO,source,,,material,0
309,ADJ-ERROR,0,ADJ-ERROR,,,,,material,0
310,"2 1/2"" LATERAL (ARAB)",0,"2 1/2"" LATERAL","2 1/2"" LATERAL (ARAB",source,,,material,0
311,CREDIT CARD FEE,0,CREDIT CARD FEE,,,,,material,0
312,CC FEE (3%),0,CC FEE,CC FEE (3%,source,,,material,0
314,WASTE CONCRETE,0,WASTE CONCRETE,,,,,material,0
315,"1/2"" CLEAN (DONIPHAN)",0,"1/2"" CLEAN","1/2"" CLEAN (DONIPHAN",source,,,material,0
316,TIRE,0,TIRE,,,,,material,0
317,SCREEINGS (DON),0,SCREEINGS,SCREEINGS (DON,source,,,material,0
318,"1/2"" M (DON",0,"1/2"" M","1/2"" M (DON",source,,,material,0
