470,HOURLY (HAULING SHINGLES),HOURLY,HOURLY (HAULING SHINGLES,hourly_context,,,15
451,"1/2"" CLEAN (ICM-HOUSTON)","1/2"" CLEAN","1/2"" CLEAN (ICM-HOUSTON",source,,,14
40,HOURLY (HAULBACK),HOURLY,HOURLY (HAULBACK,hourly_context,,,13
122,HOURLY (PLANTMOVE),HOURLY,HOURLY (PLANTMOVE,hourly_context,,,13
366,HOURLY ROCK (ICM-WP),HOURLY ROCK,HOURLY ROCK (ICM-WP,hourly_context,,,13
492,"AG LIME (MAT, HAUL, SPRD) BaseRock",AG LIME,"AG LIME (MAT, HAUL, SPRD",service,,,13
56,AGLIME,AGLIME,,,,,12
61,AGLIME (HL),AGLIME,AGLIME (HL,source,,,12
74,"3"" MINUS (CC)","3"" MINUS","3"" MINUS (CC",source,,,12
98,"1"" BASE","1"" BASE",,,,,12
270,HRLY MILL (END DUMP),HRLY MILL,HRLY MILL (END DUMP,source,,,12
431,"2"" MINUS (BLUEWING PB)","2"" MINUS","2"" MINUS (BLUEWING PB",source,,,12
446,CONCRETE SAND (BRENDA KAY),CONCRETE SAND,CONCRETE SAND (BRENDA KAY,source,,,12
43,HOURLY (ROCK HAUL),HOURLY,HOURLY (ROCK HAUL,hourly_context,,,11
133,HOURLY (PATCHES),HOURLY,HOURLY (PATCHES,hourly_context,,,11
182,"1"" MINUS (ARAB)","1"" MINUS","1"" MINUS (ARAB",source,,,11
211,HOURLY (HAUL OFF),HOURLY,HOURLY (HAUL OFF,hourly_context,,,11
222,"3/8"" CLEAN (CC)","3/8"" CLEAN","3/8"" CLEAN (CC",source,,,11
247,AGLIME (STRACK),AGLIME,AGLIME (STRACK,source,,,11
252,"1/2"" BASE (VBS)","1/2"" BASE","1/2"" BASE (VBS",source,,,11
387,"3/4"" CLEAN (CC)","3/4"" CLEAN","3/4"" CLEAN (CC",source,,,11
22,RED LIME,RED LIME,,,,,10
119,MILLINGS,MILLINGS,,,,,10
177,MAN SAND (WS),MAN SAND,MAN SAND (WS,source,,,10
186,BASE ROCK,BASE ROCK,,,,,10
233,PEA GRAVEL (BK),PEA GRAVEL,PEA GRAVEL (BK,source,,,10
280,"2"" MINUS (CC-VB)","2"" MINUS","2"" MINUS (CC-VB",source,,,10
304,RAP (WILLOW),RAP,RAP (WILLOW,source,,,10
330,AG LIME (MAT & HAULING),AG LIME,AG LIME (MAT & HAULING,service,,,10
365,HOURLY MAN SAND (ICM-WS),HOURLY MAN SAND,HOURLY MAN SAND (ICM-WS,hourly_context,,,10
401,STATE CONCRETE SAND (DEXTER),STATE CONCRETE SAND,STATE CONCRETE SAND (DEXTER,source,,,10
70,C. BALLAST,C. BALLAST,,,,,9
161,ROCK (BASE ROCK),ROCK,ROCK (BASE ROCK,source,,,9
205,HOURLY (MILL AND ASPH),HOURLY,HOURLY (MILL AND ASPH,hourly_context,,,9
239,"1/2"" MINUS (CC)","1/2"" MINUS","1/2"" MINUS (CC",source,,,9
521,ACCIDENT DOWN TIME,ACCIDENT DOWN TIME,,,,,9
14,"1"" CLEAN (DEXTER)","1"" CLEAN","1"" CLEAN (DEXTER",source,,,8
26,"1"" CLEAN (STOCKPILE)","1"" CLEAN","1"" CLEAN (STOCKPILE",source,,,8
58,HOURLY (DITCH REMOVAL),HOURLY,HOURLY (DITCH REMOVAL,hourly_context,,,8
60,HOURLY (MILL AND ROCK),HOURLY,HOURLY (MILL AND ROCK,hourly_context,,,8
