LegacyID,LoadCount,LegacyDescription,ProposedBase,Source,Service,ProposedDisplay,Flags
247,11,AGLIME (STRACK),AGLIME,STRACK,,AGLIME (STRACK),
252,11,1/2" BASE (VBS),1/2" BASE,VBS,,1/2" BASE (VBS),
387,11,3/4" CLEAN (CC),3/4" CLEAN,CC,,3/4" CLEAN (CC),
22,10,RED LIME,RED LIME,,,RED LIME,
119,10,MILLINGS,MILLINGS,,,MILLINGS,
177,10,MAN SAND (WS),MAN SAND,WS,,MAN SAND (WS),
186,10,BASE ROCK,BASE ROCK,,,BASE ROCK,
233,10,PEA GRAVEL (BK),PEA GRAVEL,BK,,PEA GRAVEL (BK),
280,10,2" MINUS (CC-VB),2" MINUS,CC-VB,,2" MINUS (CC-VB),
304,10,RAP (WILLOW),RAP,WILLOW,,RAP (WILLOW),
330,10,AG LIME (MAT & HAULING),AG LIME,,HAULING AND SPREADING,AG LIME (HAULING AND SPREADING),
365,10,HOURLY MAN SAND (ICM-WS),MAN SAND,ICM-WS,HOURLY,MAN SAND (ICM-WS) (HOURLY),
401,10,STATE CONCRETE SAND (DEXTER),STATE CONCRETE SAND,DEXTER,,STATE CONCRETE SAND (DEXTER),
70,9,C. BALLAST,C. BALLAST,,,C. BALLAST,
161,9,ROCK (BASE ROCK),ROCK,BASE ROCK,,ROCK (BASE ROCK),
205,9,HOURLY (MILL AND ASPH),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
239,9,1/2" MINUS (CC),1/2" MINUS,CC,,1/2" MINUS (CC),
521,9,ACCIDENT DOWN TIME,ACCIDENT DOWN TIME,,,ACCIDENT DOWN TIME,
14,8,1" CLEAN (DEXTER),1" CLEAN,DEXTER,,1" CLEAN (DEXTER),
26,8,1" CLEAN (STOCKPILE),1" CLEAN,,,1" CLEAN,context_tag:STOCKPILE
58,8,HOURLY (DITCH REMOVAL),DITCH REMOVAL,,HOURLY,DITCH REMOVAL (HOURLY),
60,8,HOURLY (MILL AND ROCK),MILLING,,HOURLY,MILLING (HOURLY),normalized_to_milling_from_original
65,8,RIP RAP (#50),RIP RAP #50,,,RIP RAP #50,
226,8,HOURLY SKID STEER,SKID STEER,,HOURLY,SKID STEER (HOURLY),
227,8,HEAVY DIRT,HEAVY DIRT,,,HEAVY DIRT,
240,8,CLAY,CLAY,,,CLAY,
249,8,JAW ROCK (ICM),JAW ROCK,ICM,,JAW ROCK (ICM),
311,8,CREDIT CARD FEE,CREDIT CARD FEE,,,CREDIT CARD FEE,
440,8,BACK HAUL RAP/MILLING,RAP/MILLING,,HAUL BACK,RAP/MILLING (HAUL BACK),
445,8,TYPE 1/5 BASE (VB),TYPE 1/5 BASE,VB,,TYPE 1/5 BASE (VB),
475,8,HOURLY (DIRT HAUL),DIRT HAUL,,HOURLY,DIRT HAUL (HOURLY),
504,8,TYPE 2 ROCK BLANKET (BW),TYPE 2 ROCK BLANKET,BW,,TYPE 2 ROCK BLANKET (BW),
52,7,HOURLY (ASPH),ASPHALT,,HOURLY,ASPHALT (HOURLY),
75,7,HOURLY (BUSTED ASPHALT),BUSTED ASPHALT,,HOURLY,BUSTED ASPHALT (HOURLY),
215,7,1 1/2" CLEAN GRAVEL (WS),1 1/2" CLEAN GRAVEL,WS,,1 1/2" CLEAN GRAVEL (WS),
236,7,1" CLEAN (SEMO),1" CLEAN,SEMO,,1" CLEAN (SEMO),
238,7,RIP RAP #200 (WS),RIP RAP #200,WS,,RIP RAP #200 (WS),
277,7,SHINGLES (PB),SHINGLES,PB,,SHINGLES (PB),
278,7,SAND (BK),SAND,BK,,SAND (BK),
427,7,HOURLY WORK TIME (PLANT),WORK TIME,PLANT,HOURLY,WORK TIME (PLANT) (HOURLY),
478,7,HAULING SAND,SAND,,HAULING,SAND (HAULING),
489,7,ASPHALT (MINERAL AREA),ASPHALT,MINERAL AREA,,ASPHALT (MINERAL AREA),
1,6,1" BASE (WS),1" BASE,WS,,1" BASE (WS),
9,6,1" MINUS BROWN (ARAB),1" MINUS BROWN,ARAB,,1" MINUS BROWN (ARAB),
12,6,1" MINUS STOCKPILE,1" MINUS STOCKPILE,,,1" MINUS STOCKPILE,
144,6,SCREENINGS,SCREENINGS,,,SCREENINGS,
167,6,PERMITS,PERMITS,,,PERMITS,
184,6,2" CLEAN (ARAB),2" CLEAN,ARAB,,2" CLEAN (ARAB),
189,6,HAULING ROCK ONLY,ROCK,,HAULING,ROCK (HAULING),
221,6,CONCRETE WASTE,CONCRETE WASTE,,,CONCRETE WASTE,
317,6,SCREEINGS (DON),SCREENINGS,DON,,SCREENINGS (DON),
376,6,HOURLY (TRAILER MOVE),TRAILER MOVE,,HOURLY,TRAILER MOVE (HOURLY),
385,6,HOURLY (STOCKPILING ROCK),STOCKPILING ROCK,,HOURLY,STOCKPILING ROCK (HOURLY),
399,6,2" MINUS (SEMO),2" MINUS,SEMO,,2" MINUS (SEMO),
463,6,LOADING DIRT,DIRT,,HAULING,DIRT (HAULING),
464,6,WASHED 1" OPEN (DEXTER),WASHED 1" OPEN,DEXTER,,WASHED 1" OPEN (DEXTER),
501,6,1" MINUS (BLUEWING-VB),1" MINUS,BLUEWING-VB,,1" MINUS (BLUEWING-VB),
30,5,BUSTED CONCRETE,BUSTED CONCRETE,,,BUSTED CONCRETE,
32,5,RED LIME (SCAGGS),RED LIME,SCAGGS,,RED LIME (SCAGGS),
178,5,PEA GRAVEL,PEA GRAVEL,,,PEA GRAVEL,
180,5,1" MINUS (SHOP),1" MINUS,,,1" MINUS,context_tag:SHOP
194,5,1/2" MINUS (BASEROCK),1/2" MINUS,BASEROCK,,1/2" MINUS (BASEROCK),
210,5,DIRT (PITS),DIRT,PITS,,DIRT (PITS),
229,5,3" MINUS,3" MINUS,,,3" MINUS,
243,5,90# RIP RAP (CQ),90# RIP RAP,CQ,,90# RIP RAP (CQ),
254,5,2" CLEAN (VBS),2" CLEAN,VBS,,2" CLEAN (VBS),
286,5,2 1/2" LATERAL (ICM-DNPHN),2 1/2" LATERAL,ICM-DNPHN,,2 1/2" LATERAL (ICM-DNPHN),
320,5,SAND (WS),SAND,WS,,SAND (WS),
348,5,AGLIME (SPREADING ONLY)By The Acre,AGLIME,,SPREADING,AGLIME (SPREADING),billing_note:BY_THE_ACRE
351,5,HOURLY (WASTE ROCK),WASTE ROCK,,HOURLY,WASTE ROCK (HOURLY),
408,5,HOURLY (COLD MIX),COLD MIX,,HOURLY,COLD MIX (HOURLY),
411,5,GYPSUM (Prairie State),GYPSUM,PRAIRIE STATE,,GYPSUM (PRAIRIE STATE),
471,5,GABION STONE (BLUEWING),GABION STONE,BLUEWING,,GABION STONE (BLUEWING),
499,5,Hourly(RipRap),RIPRAP,,HOURLY,RIPRAP (HOURLY),
511,5,TOPSOIL (ICM),TOPSOIL,ICM,,TOPSOIL (ICM),
25,4,1" CLEAN,1" CLEAN,,,1" CLEAN,
64,4,1" BASE (SHOP),1" BASE,,,1" BASE,context_tag:SHOP
66,4,HOURLY (DIRT HAUL OFF),DIRT HAUL OFF,,HOURLY,DIRT HAUL OFF (HOURLY),
78,4,3/4" CLEAN (ARAB),3/4" CLEAN,ARAB,,3/4" CLEAN (ARAB),
95,4,1/2" CLEAN (SEMO),1/2" CLEAN,SEMO,,1/2" CLEAN (SEMO),
99,4,HOURLY (MAINTENANCE),MAINTENANCE,,HOURLY,MAINTENANCE (HOURLY),
112,4,MULCH,MULCH,,,MULCH,
132,4,SHOW UP,SHOW UP,,,SHOW UP,
148,4,HOURLY (ENTRANCES),ENTRANCES,,HOURLY,ENTRANCES (HOURLY),
149,4,ASPAHLT SAND (STATE),ASPHALT SAND,,,ASPHALT SAND,context_tag:STATE
155,4,AGLIME (HEARTLAND) (VBR),AGLIME,HEARTLAND,,AGLIME (HEARTLAND),context_tag:VBR
158,4,AGLIME (SCAGGS),AGLIME,SCAGGS,,AGLIME (SCAGGS),
164,4,MORTAR SAND (BRENDAKAY),MORTAR SAND,BRENDAKAY,,MORTAR SAND (BRENDAKAY),
206,4,2 1/2" CLEAN (ARAB),2 1/2" CLEAN,ARAB,,2 1/2" CLEAN (ARAB),
223,4,HOURLY (SKIDSTEER),SKIDSTEER,,HOURLY,SKIDSTEER (HOURLY),
225,4,2" CLEAN BLACK (BUTLER HILL),2" CLEAN BLACK,BUTLER HILL,,2" CLEAN BLACK (BUTLER HILL),
241,4,D. BALLAST,D. BALLAST,,,D. BALLAST,
312,4,CC FEE (3%),CC FEE,,,CC FEE,spec_tag:3%
328,4,MOVING LAB TRAILER,MOVING LAB TRAILER,,,MOVING LAB TRAILER,
405,4,3" CLEAN (SEMO),3" CLEAN,SEMO,,3" CLEAN (SEMO),
